person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,6,4.478876999999997,25,0,0,0,0,0,0,1,0,0,0,0
javier,6,4.602899399999998,25,0,0,0,13427,30633,130462,632467,19285,208316,28576,571339
javier,6,5.511558799999989,0,0,0,0,6835,2796,8413,48122,9590,4428,5910,17793
javier,6,6.526495899999986,0,0,0,0,2903,1647,2871,7468,4752,5992,3762,6637
javier,6,7.566935099999995,0,0,0,0,2053,690,5052,85872,7418,6258,5700,22757
javier,6,8.51460929999999,0,0,30,51,1338,3412,23756,10200,6546,14550,5609,9629
javier,6,9.5321067,0,0,13,53,3958,3280,8065,8693,7781,43660,12133,55910
javier,6,10.53720659999999,0,0,1,51,5292,2049,18952,563981,7875,33969,23750,65265
javier,6,11.552018099999998,0,0,1,43,3094,2082,14264,222835,21270,31457,27630,76594
javier,6,13.492228799999992,0,0,24,38,3995,2920,3166,7066,5549,19214,5378,12033
