person,questionCode,session_code,record_prefix,response
silvia,1,ses03,silvia_ses01,0
silvia,2,ses03,silvia_ses01,0
silvia,3,ses03,silvia_ses01,1
silvia,4,ses03,silvia_ses01,0
silvia,5,ses03,silvia_ses01,1
silvia,6,ses03,silvia_ses01,1
silvia,7,ses03,silvia_ses01,1
silvia,8,ses03,silvia_ses01,1
silvia,9,ses03,silvia_ses01,1
silvia,10,ses03,silvia_ses01,0
silvia,11,ses03,silvia_ses01,0
silvia,12,ses03,silvia_ses01,0
silvia,13,ses03,silvia_ses01,0
silvia,14,ses03,silvia_ses01,0
silvia,15,ses03,silvia_ses01,0
silvia,16,ses03,silvia_ses01,0
silvia,17,ses03,silvia_ses01,1
silvia,18,ses03,silvia_ses01,1
silvia,19,ses03,silvia_ses01,0
silvia,20,ses03,silvia_ses01,1
silvia,21,ses03,silvia_ses01,0
silvia,22,ses03,silvia_ses01,0
silvia,23,ses03,silvia_ses01,0
silvia,24,ses03,silvia_ses01,1
silvia,25,ses03,silvia_ses01,0
silvia,26,ses03,silvia_ses01,0
silvia,27,ses03,silvia_ses01,1
silvia,28,ses03,silvia_ses01,0
silvia,29,ses03,silvia_ses01,0
silvia,30,ses03,silvia_ses01,1
silvia,31,ses03,silvia_ses01,0
silvia,32,ses03,silvia_ses01,0
silvia,33,ses03,silvia_ses01,0
silvia,34,ses03,silvia_ses01,0
silvia,35,ses03,silvia_ses01,0
silvia,36,ses03,silvia_ses01,1
silvia,37,ses03,silvia_ses01,1
silvia,38,ses03,silvia_ses01,0
silvia,39,ses03,silvia_ses01,0
silvia,40,ses03,silvia_ses01,0
silvia,41,ses03,silvia_ses01,0
silvia,42,ses03,silvia_ses01,0
silvia,43,ses03,silvia_ses01,1
silvia,44,ses03,silvia_ses01,0
silvia,45,ses03,silvia_ses01,1
silvia,46,ses03,silvia_ses01,1
silvia,47,ses03,silvia_ses01,0
silvia,48,ses03,silvia_ses01,1
silvia,49,ses03,silvia_ses01,1

