person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,28,4.836683499999992,25,0,0,0,32451,34551,62744,1291544,27709,125137,21491,418111
silvia,28,5.6461868000000095,0,0,0,0,25770,7305,9866,569606,27263,14599,7330,50008
silvia,28,6.693055700000002,0,0,0,0,699,236,3044,115260,533,894,243,10551
silvia,28,7.693102399999987,0,0,0,0,34669,15387,165169,1437313,83135,358728,149045,393863



silvia,28,9.658361300000024,0,0,34,30,428,393,255,155849,851,3601,1060,14229
silvia,28,10.669300700000008,0,0,30,13,35414,29330,38603,3146142,50581,19926,94099,647977
silvia,28,11.688901600000008,0,0,24,1,16058,8664,40421,306177,50068,64751,40544,995086
silvia,28,12.639418500000033,0,0,24,3,8334,3665,21810,129138,12115,19557,7732,83460
