person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,19,1.2204996000000108,0,0,53,37,3998,2476,14226,12099,6062,9459,5280,41319
javier,19,2.2526983999999857,0,0,43,50,2495,3502,14749,11878,7676,14379,4803,14442
javier,19,3.2362195999999983,0,0,40,69,3950,3855,21243,27785,7235,18750,7564,21147
javier,19,4.272761900000006,0,0,38,75,1812,3316,11417,17625,6004,11025,8443,14442
javier,19,5.315788400000002,0,0,41,70,3933,3160,13519,8281,6471,2401,5156,34018
javier,19,6.234930200000008,0,0,24,56,1127,710,2041,81621,2803,20362,6678,56265
javier,19,7.237986500000005,0,0,23,41,5826,2308,3549,82353,3163,7907,11134,17243
javier,19,8.261335000000003,0,0,27,38,3548,1797,15654,189957,11411,5408,6530,24918
javier,19,9.2797774,0,0,24,41,2775,3327,27515,95991,7048,7769,14009,50313
javier,19,10.223479999999995,0,0,26,40,604,346,7878,226922,2502,6376,7903,45309
