person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
javier,27,1.969530700000007,0,0,26,40,3734,5800,27977,33880,10511,14175,5362,82448
javier,27,2.9699051000000054,0,0,47,41,3062,5920,3848,9966,11103,12833,3733,13917
javier,27,3.9670824000000096,0,0,57,61,4853,839,12062,11503,16743,22123,14069,34714
javier,27,4.964381299999985,0,0,54,61,3756,1920,18229,175453,20211,84878,32518,108633
javier,27,5.959565800000007,0,0,64,77,8728,5573,18580,69760,15651,44698,15196,11941
javier,27,6.954099500000012,0,0,56,66,2161,2157,15240,203116,11963,7597,15708,56868
javier,27,7.95058130000001,0,0,41,60,4895,1678,16673,354988,4553,3611,6683,51281
javier,27,8.97527740000001,0,0,41,51,680,514,2695,64655,2171,3951,1362,16808
javier,27,9.941675900000007,0,0,26,34,3600,1962,39349,59482,10044,16929,11324,144893
javier,27,10.986228899999986,0,0,23,44,6320,1808,27364,246445,12644,29522,13336,52582
