person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,40,1.5308943,0,0,80,81,9621,2553,16823,162939,14127,28558,9704,46856
silvia,40,2.548878400000035,0,0,69,74,2382,1305,5148,120377,2402,631,4037,12119
silvia,40,3.5629988000000026,0,0,47,70,5558,3519,12353,472161,13425,18333,23817,213412
silvia,40,4.501895200000035,0,0,24,40,5432,1659,16023,1178897,7133,8441,9986,480095
silvia,40,5.539732000000015,0,0,10,37,3793,1802,15179,193345,10874,115896,43332,235142
silvia,40,6.5402434000000085,0,0,23,38,11702,4688,34209,172069,58056,12757,21395,53692
silvia,40,7.573007700000005,0,0,38,57,11838,3266,7677,128060,13675,25699,9813,11631
silvia,40,8.494042300000046,0,0,64,87,6419,7091,10247,7304,9411,10688,4677,10704
silvia,40,9.549264400000027,0,0,78,77,5011,3088,4867,27006,4727,2762,12993,29335
silvia,40,10.547810200000015,0,0,77,66,1718,1054,1180,69922,6654,1242,3239,10772
