person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,14,0.02132950000000733,0,0,35,77,3668,1336,14792,289963,7138,17456,11596,9879
silvia,14,0.03635490000002051,0,0,40,81,19825,6296,8367,186845,9594,77662,12732,167143
silvia,14,0.05060070000001815,0,0,34,97,3396,3819,19248,1071649,5201,18080,12429,56061
silvia,14,0.06428189999999745,0,0,14,80,1037,557,2777,372217,745,140,1067,18510
silvia,14,0.07885680000001116,0,0,4,69,4787,1811,10435,193597,3851,15868,3110,49166
silvia,14,0.11946850000001064,0,0,3,74,3033,7270,58976,470028,8425,48285,24490,157671
silvia,14,1.1399809000000118,0,0,1,69,5382,4726,18443,2544492,12210,71659,21212,193180
silvia,14,2.058073300000018,0,0,1,87,11179,6970,26522,967243,4716,48496,18524,60629
silvia,14,3.0987400000000207,0,0,10,83,56514,18842,78762,3403254,85270,86615,33644,413715
silvia,14,4.117348200000009,0,0,24,74,72463,35958,14831,2052962,43605,42486,15916,181795
