person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,10,4.597178799999995,25,0,0,0,20250,27398,23960,759875,17563,79385,32616,338664
silvia,10,5.44984789999998,0,0,0,0,17824,5687,10529,22393,7439,17826,8994,24661
silvia,10,6.444153599999993,0,0,0,0,2182,860,3426,735475,3452,762,6305,40594

silvia,10,7.491415899999993,51,0,0,0,149867,28832,287808,1665025,200202,34208,274079,116162
silvia,10,8.509015500000004,51,0,0,0,72775,37715,40410,1199214,48586,188291,49531,137471
silvia,10,9.446810999999997,25,0,0,0,1270,754,11311,120027,3609,16508,6780,47741
silvia,10,10.427729599999992,25,0,0,0,78,39,496,2493,118,282,130,1216
silvia,10,11.454729499999985,25,0,0,0,2552,2375,10860,653203,6382,9965,3459,70569
silvia,10,12.467921499999989,0,0,0,0,29819,29919,92439,1608669,36617,50208,34463,460532
