person,questionCode,timediff,signalLevel,blinkStrength,attention,meditation,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta
silvia,27,4.369781699999976,25,0,0,0,0,0,0,1,0,0,0,0
silvia,27,4.500502900000015,25,0,0,0,11149,33870,38646,732010,43922,92262,23141,350991
silvia,27,5.347703299999978,0,0,0,0,17453,3738,10660,79726,15008,27411,4504,116514
silvia,27,6.371660700000007,0,0,0,0,17366,6086,24535,18562,14472,53695,5123,86687
silvia,27,7.311990299999991,0,0,0,0,12190,5616,36548,365669,13707,23047,13185,81439
silvia,27,8.33928579999997,0,0,30,30,16512,10294,64719,84319,16507,13441,11282,246706
silvia,27,9.343877399999997,0,0,54,34,9639,1452,4051,105903,2552,1577,1890,7654
silvia,27,10.360807399999999,0,0,78,14,8128,6342,4064,4235,16838,1985,11637,6114
silvia,27,11.38437140000002,0,0,100,16,11527,3234,11263,1625,20186,559,5104,2712
silvia,27,12.332846899999993,0,0,90,27,1639,832,11427,174023,3316,20499,6021,52959
silvia,27,13.339784000000009,0,0,83,27,20563,4077,10694,20809,21991,6034,7083,8456
